Wavelength[nm],ADC
668.308,7562
668.741,8482
669.174,8578
669.608,8626
670.041,9562
670.475,8566
670.908,8628
671.342,7981
671.775,8869
672.209,7897
672.642,7753
673.076,8869
673.510,7929
673.943,8134
674.377,9055
674.811,8965
675.245,7920
675.679,7659
676.113,7893
676.547,8841
676.981,7748
677.415,9096
677.849,8865
678.283,8113
678.717,8086
679.151,7847
679.585,7612
680.020,7908
680.454,7610
680.888,7895
681.323,8153
681.757,8370
682.191,7979
682.626,8861
683.060,8547
683.495,8008
683.930,8625
684.364,8933
684.799,7981
685.234,8252
685.668,8221
686.103,8131
686.538,8498
686.973,8422
687.408,8356
687.842,8168
688.277,8745
688.712,9323
689.147,7662
689.582,8257
690.018,8022
690.453,7677
690.888,7728
691.323,8119
691.758,8480
692.193,7967
692.629,8178
693.064,8304
693.500,9022
693.935,7357
694.370,8196
694.806,8979
695.241,8314
695.677,8801
696.112,10517
696.548,9787
696.984,9933
697.419,8480
697.855,9470
698.291,9081
698.727,8716
699.163,8061
699.598,8687
700.034,8165
700.470,8528
700.906,8750
701.342,8316
701.778,7620
702.214,9063
702.651,8659
703.087,7760
703.523,8636
703.959,8510
704.395,7666
704.832,7631
705.268,7891
705.704,7632
706.141,8514
706.577,8002
707.014,8517
707.450,7982
707.887,7576
708.323,7968
708.760,8521
709.197,8041
709.633,8437
710.070,7922
710.507,8207
710.943,8264
711.380,8372
711.817,8268
712.254,8320
712.691,8576
713.128,8160
713.565,8128
714.002,8392
714.439,7920
714.876,8002
715.313,7655
715.750,8227
716.188,8452
716.625,8127
717.062,7806
717.499,8382
717.937,8938
718.374,8693
718.812,7976
719.249,8074
719.686,8404
720.124,7893
720.562,7730
720.999,8014
721.437,8398
721.874,8001
722.312,9288
722.750,8079
723.188,7941
723.625,9134
724.063,7377
724.501,8330
724.939,8030
725.377,8446
725.815,8278
726.253,8513
726.691,9006
727.129,8843
727.567,8246
728.005,8668
728.443,8073
728.881,8294
729.320,8193
729.758,8565
730.196,8322
730.634,8383
731.073,7939
731.511,8258
731.950,8877
732.388,7696
732.827,8259
733.265,8780
733.704,7911
734.142,8859
734.581,8238
735.020,8029
735.458,8736
735.897,7488
736.336,7597
736.775,9035
737.213,9631
737.652,8481
738.091,9395
738.530,9546
738.969,9164
739.408,8698
739.847,8559
740.286,9316
740.725,8470
741.164,9237
741.604,7580
742.043,7822
742.482,9142
742.921,8520
743.360,8802
743.800,8134
744.239,9064
744.679,7872
745.118,8456
745.557,8565
745.997,8213
746.436,8116
746.876,8680
747.316,8616
747.755,9151
748.195,8529
748.635,9433
749.074,8310
749.514,9313
749.954,12117
750.394,12137
750.833,11962
751.273,10839
751.713,9187
752.153,8941
752.593,9095
753.033,8309
753.473,8541
753.913,7639
754.353,7978
754.794,8915
755.234,8611
755.674,9031
756.114,8322
756.555,8212
756.995,8630
757.435,8231
757.875,9377
758.316,8149
758.756,8522
759.197,8678
759.637,7851
760.078,8444
760.518,7965
760.959,8590
761.400,8017
761.840,8227
762.281,8303
762.722,10685
763.162,14106
763.603,14045
764.044,13423
764.485,11354
764.926,10236
765.367,8277
765.807,8430
766.248,8498
766.690,8062
767.130,8608
767.572,8375
768.013,9066
768.454,7704
768.895,8416
769.336,7912
769.777,9161
770.219,7876
770.660,7799
771.101,8471
771.543,8831
771.984,11499
772.425,11902
772.867,12306
773.308,10033
773.750,8527
774.191,7961
774.633,7838
775.074,8095
775.516,8247
775.958,7717
776.399,8042
776.841,7922
777.283,8437
777.725,7629
778.167,8434
778.608,8494
779.050,8512
779.492,8150
779.934,8956
780.376,8846
780.818,7980
781.260,8683
781.702,8581
782.144,9409
782.586,8464
783.028,8368
783.471,8461
783.913,9521
784.355,8100
784.797,7995
785.240,8104
785.682,9090
786.124,8930
786.567,8799
787.009,8335
787.452,8105
787.894,8248
788.337,9288
788.779,8815
789.222,8213
789.664,8569
790.107,7987
790.550,9038
790.992,9777
791.435,8181
791.878,8486
792.321,8232
792.763,8524
793.206,8622
793.649,9010
794.092,8668
794.535,9622
794.978,9866
795.421,8757
795.864,8194
796.307,7766
796.750,8186
797.193,7952
797.636,8697
798.080,8920
798.523,9133
798.966,8158
799.409,8830
799.852,8842
800.296,9782
800.739,9917
801.182,8870
801.626,8875
802.069,8480
802.513,8087
802.956,8402
803.400,7947
803.843,9253
804.287,8680
804.731,8057
805.174,8996
805.618,8600
806.062,8433
806.505,8471
806.949,8198
807.393,8952
807.837,9315
808.281,8510
808.724,8136
809.168,9095
809.612,9995
810.056,9352
